id,year,value
EUR,1898,411873680
EUR,1899,415438210
EUR,1900,418891303
EUR,1901,422435967
EUR,1902,426209961
EUR,1903,429937297
EUR,1904,433675626
EUR,1905,437301958
EUR,1906,441165058
EUR,1907,444926194
EUR,1908,448813546
EUR,1909,452699491
EUR,1910,456623946
EUR,1911,460546181
EUR,1912,463859714
EUR,1913,467143303
EUR,1914,470170993
EUR,1915,471317164
EUR,1916,472087466
EUR,1917,472296173
EUR,1918,471592259
EUR,1919,467539132
EUR,1920,469788441
EUR,1921,473801162
EUR,1922,477789810
EUR,1923,482222560
EUR,1924,486531050
EUR,1925,490611674
EUR,1926,494780881
EUR,1927,498576679
EUR,1928,502559989
EUR,1929,506453648
EUR,1930,510667558
EUR,1931,514972440
EUR,1932,518986716
EUR,1933,522952482
EUR,1934,526981509
EUR,1935,530999515
EUR,1936,535017136
EUR,1937,539067257
EUR,1938,543376970
EUR,1939,548173774
EUR,1940,550023689
EUR,1941,550634244
EUR,1942,552810622
EUR,1943,553890249
EUR,1944,555230404
EUR,1945,554579780
EUR,1946,555503700
EUR,1947,560758689
EUR,1948,566860128
EUR,1949,572385679
EUR,1950,576635243
EUR,1951,582632879
EUR,1952,589010992
EUR,1953,595595472
EUR,1954,602258013
EUR,1955,608916087
EUR,1956,615535395
EUR,1957,622127409
EUR,1958,628742157
EUR,1959,635456111
EUR,1960,642335877
EUR,1961,649399514
EUR,1962,656582653
EUR,1963,663723977
EUR,1964,670606363
EUR,1965,677077819
EUR,1966,683067937
EUR,1967,688628578
EUR,1968,693880994
EUR,1969,699008858
EUR,1970,704145334
EUR,1971,709328717
EUR,1972,714515992
EUR,1973,719662215
EUR,1974,724692716
EUR,1975,729554887
EUR,1976,734243778
EUR,1977,738786551
EUR,1978,743200602
EUR,1979,747512599
EUR,1980,751744338
EUR,1981,755881725
EUR,1982,759921924
EUR,1983,763909767
EUR,1984,767903998
EUR,1985,771936260
EUR,1986,776026919
EUR,1987,780133319
EUR,1988,784145611
EUR,1989,787914322
EUR,1990,791328190
EUR,1991,794376062
EUR,1992,797081685
EUR,1993,799416412
EUR,1994,801355624
EUR,1995,802901367
EUR,1996,804029862
EUR,1997,804797871
EUR,1998,805390403
EUR,1999,806053590
EUR,2000,806970722
EUR,2001,808198603
EUR,2002,809709025
EUR,2003,811491464
EUR,2004,813504791
EUR,2005,815706386
EUR,2006,818115615
EUR,2007,820717869
EUR,2008,823390116
EUR,2009,825969762
EUR,2010,828337557
EUR,2011,830438886
EUR,2012,832293913
EUR,2013,833950908
EUR,2014,835493395
EUR,2015,836981106
EUR,2016,838420733
EUR,2017,839783952
EUR,2018,841055357
EUR,2019,842210551
EUR,2020,843231702
EUR,2021,844117224
EUR,2022,844873539
EUR,2023,845500392
EUR,2024,845998952
EUR,2025,846371351
EUR,2026,846618802
EUR,2027,846744697
EUR,2028,846756778
EUR,2029,846664944
EUR,2030,846478222
EUR,2031,846200252
EUR,2032,845835578
EUR,2033,845395251
EUR,2034,844892113
EUR,2035,844335988
EUR,2036,843732056
EUR,2037,843080995
EUR,2038,842382136
EUR,2039,841632574
EUR,2040,840829709
EUR,2041,839973946
EUR,2042,839065518
EUR,2043,838100989
EUR,2044,837075808
EUR,2045,835986040
EUR,2046,834832304
EUR,2047,833613779
EUR,2048,832323569
EUR,2049,830952986
EUR,2050,829496886
EUR,2051,827955085
EUR,2052,826332773
EUR,2053,824637384
EUR,2054,822879222
EUR,2055,821068001
EUR,2056,819209311
EUR,2057,817308963
EUR,2058,815377819
EUR,2059,813428203
EUR,2060,811471354
EUR,2061,809514879
EUR,2062,807565717
EUR,2063,805633454
EUR,2064,803727970
EUR,2065,801857913
EUR,2066,800029832
EUR,2067,798248850
EUR,2068,796520008
EUR,2069,794847600
EUR,2070,793235291
EUR,2071,791686588
EUR,2072,790204168
EUR,2073,788789382
EUR,2074,787442775
EUR,2075,786164576
EUR,2076,784955358
EUR,2077,783815239
EUR,2078,782743081
EUR,2079,781737096
EUR,2080,780795332
EUR,2081,779916479
EUR,2082,779098765
EUR,2083,778338961
EUR,2084,777633232
EUR,2085,776977999
EUR,2086,776371071
EUR,2087,775810112
EUR,2088,775291198
EUR,2089,774810020
EUR,2090,774362907
EUR,2091,773947259
EUR,2092,773561374
EUR,2093,773204174
EUR,2094,772874822
EUR,2095,772572434
EUR,2096,772295937
EUR,2097,772044035
EUR,2098,771815137
EUR,2099,771607449
EUR,2100,771418909
